Pipeline Time Created,Pipeline ID,Pipeline URL,rapidfort-scan Status,Project Name
"July 14, 2024, 11:48:14 PM UTC",3470647,https://repo1.dso.mil/dsop/elastic/logstash/logstash/-/pipelines/3470647,success,elastic/logstash/logstash
"July 15, 2024, 01:31:06 AM UTC",3471877,https://repo1.dso.mil/dsop/opensource/grafana/loki/-/pipelines/3471877,success,opensource/grafana/loki
"July 14, 2024, 11:19:06 PM UTC",3470411,https://repo1.dso.mil/dsop/microsoft/microsoft/microsoft-sql-server-2019/-/pipelines/3470411,success,microsoft/microsoft/microsoft-sql-server-2019
"July 15, 2024, 02:36:09 AM UTC",3472566,https://repo1.dso.mil/dsop/opensource/apache/nifi/-/pipelines/3472566,success,opensource/apache/nifi
"July 15, 2024, 01:51:25 AM UTC",3472131,https://repo1.dso.mil/dsop/opensource/apache/nifi-registry/-/pipelines/3472131,success,opensource/apache/nifi-registry
"July 15, 2024, 12:57:25 PM UTC",3472893,https://repo1.dso.mil/dsop/opensource/prometheus/node-exporter/-/pipelines/3472893,success,opensource/prometheus/node-exporter
"July 15, 2024, 01:08:55 AM UTC",3471603,https://repo1.dso.mil/dsop/opensource/postgres/postgresql12/-/pipelines/3471603,success,opensource/postgres/postgresql12
"July 15, 2024, 01:08:54 AM UTC",3471602,https://repo1.dso.mil/dsop/opensource/postgres/postgresql-15/postgresql15/-/pipelines/3471602,success,opensource/postgres/postgresql-15/postgresql15
"July 15, 2024, 12:36:24 AM UTC",3471252,https://repo1.dso.mil/dsop/opensource/postgres/postgresql-15/postgresql15-alpine/-/pipelines/3471252,skipped,opensource/postgres/postgresql-15/postgresql15-alpine
"July 15, 2024, 01:38:41 AM UTC",3471981,https://repo1.dso.mil/dsop/opensource/prometheus/prometheus/-/pipelines/3471981,success,opensource/prometheus/prometheus
"July 15, 2024, 12:04:24 AM UTC",3470798,https://repo1.dso.mil/dsop/opensource/redis/redis6/-/pipelines/3470798,success,opensource/redis/redis6
"July 15, 2024, 01:40:22 AM UTC",3471990,https://repo1.dso.mil/dsop/opensource/redis/redis7/-/pipelines/3471990,success,opensource/redis/redis7
"June 21, 2024, 03:28:59 AM UTC",3397575,https://repo1.dso.mil/dsop/opensource/wordpress/wordpress/-/pipelines/3397575,success,opensource/wordpress/wordpress
"July 15, 2024, 01:31:05 AM UTC",3471876,https://repo1.dso.mil/dsop/opensource/grafana/grafana/-/pipelines/3471876,success,opensource/grafana/grafana
"July 15, 2024, 12:54:42 AM UTC",3471488,https://repo1.dso.mil/dsop/elastic/kibana/kibana/-/pipelines/3471488,success,elastic/kibana/kibana
"July 14, 2024, 11:19:04 PM UTC",3470409,https://repo1.dso.mil/dsop/hashicorp/vault/1.14/-/pipelines/3470409,success,hashicorp/vault/1.14
"July 15, 2024, 12:04:25 AM UTC",3470799,https://repo1.dso.mil/dsop/opensource/grafana/promtail/-/pipelines/3470799,success,opensource/grafana/promtail
"July 14, 2024, 11:48:04 PM UTC",3470640,https://repo1.dso.mil/dsop/elastic/beats/metricbeat/-/pipelines/3470640,success,elastic/beats/metricbeat
"July 15, 2024, 12:53:55 PM UTC",3472879,https://repo1.dso.mil/dsop/opensource/gruntwork-io/terragrunt/-/pipelines/3472879,success,opensource/gruntwork-io/terragrunt
"July 14, 2024, 11:48:01 PM UTC",3470635,https://repo1.dso.mil/dsop/elastic/beats/filebeat/-/pipelines/3470635,success,elastic/beats/filebeat
"July 14, 2024, 11:48:02 PM UTC",3470637,https://repo1.dso.mil/dsop/elastic/beats/heartbeat/-/pipelines/3470637,success,elastic/beats/heartbeat
"July 14, 2024, 11:48:06 PM UTC",3470642,https://repo1.dso.mil/dsop/elastic/beats/packetbeat/-/pipelines/3470642,success,elastic/beats/packetbeat
